,session,exercise,name,user,url,commits,runs,completed,completed_at,failed
113,12,01,12-01_paasio,01_paasio,https://api.github.com/repos/DB-Teaching/12-01_paasio,1,0,0,[],0
114,12,02,12-02_satellite,02_satellite,https://api.github.com/repos/DB-Teaching/12-02_satellite,1,0,0,[],0
115,12,03,12-03_sgf-parsing,parsing,https://api.github.com/repos/DB-Teaching/12-03_sgf-parsing,1,0,0,[],0
116,13,01,13-01_bank-account,account,https://api.github.com/repos/DB-Teaching/13-01_bank-account,1,0,0,[],0
117,14,01,14-01_pov,01_pov,https://api.github.com/repos/DB-Teaching/14-01_pov,1,0,0,[],0
118,15,01,15-01_rest-api,api,https://api.github.com/repos/DB-Teaching/15-01_rest-api,1,0,0,[],0
119,01,01,01-01-hello-world-dominikb1888,dominikb1888,https://api.github.com/repos/DB-Teaching/01-01-hello-world-dominikb1888,2,6,4,"[datetime.datetime(2022, 3, 15, 8, 57, 1), datetime.datetime(2022, 3, 15, 8, 57, 2), datetime.datetime(2022, 3, 15, 8, 58, 17), datetime.datetime(2022, 3, 15, 9, 47, 25)]",2
120,01,02,01-02-leap-dominikb1888,dominikb1888,https://api.github.com/repos/DB-Teaching/01-02-leap-dominikb1888,3,1,0,[],1
121,10,06,10-06-zebra-puzzle-dominikb1888,dominikb1888,https://api.github.com/repos/DB-Teaching/10-06-zebra-puzzle-dominikb1888,3,1,0,[],1
122,01,03,01-03-difference-of-squares-dominikb1888,dominikb1888,https://api.github.com/repos/DB-Teaching/01-03-difference-of-squares-dominikb1888,4,2,0,[],2
123,01,03,01-03-gigasecond-dominikb1888,dominikb1888,https://api.github.com/repos/DB-Teaching/01-03-gigasecond-dominikb1888,3,1,0,[],1
124,01,04,01-04-grains-dominikb1888,dominikb1888,https://api.github.com/repos/DB-Teaching/01-04-grains-dominikb1888,3,1,0,[],1
125,01,05,01-05-pangram-dominikb1888,dominikb1888,https://api.github.com/repos/DB-Teaching/01-05-pangram-dominikb1888,3,1,0,[],1
126,01,06,01-06-two-fer-dominikb1888,dominikb1888,https://api.github.com/repos/DB-Teaching/01-06-two-fer-dominikb1888,3,1,0,[],1
127,01,07,01-07-collatz-conjecture-dominikb1888,dominikb1888,https://api.github.com/repos/DB-Teaching/01-07-collatz-conjecture-dominikb1888,3,1,0,[],1
128,01,08,01-08-bob-dominikb1888,dominikb1888,https://api.github.com/repos/DB-Teaching/01-08-bob-dominikb1888,3,1,0,[],1
