,session,exercise,name,user,url,commits,runs,completed,failed
355,15,01,15-01-rest-api-dominikb1888,dominikb1888,https://github.com/DB-Teaching/15-01-rest-api-dominikb1888,3,1,0,0
356,02,03,02-03-perfect-numbers-Amit021,Amit021,https://github.com/DB-Teaching/02-03-perfect-numbers-Amit021,8,6,1,1
357,03,01,03-01-phone-number-cleverjohnson,cleverjohnson,https://github.com/DB-Teaching/03-01-phone-number-cleverjohnson,4,2,1,1
358,02,04,02-04-sublist-Amit021,Amit021,https://github.com/DB-Teaching/02-04-sublist-Amit021,4,2,1,1
359,01,04,01-04-grains-Marinapozhid,Marinapozhid,https://github.com/DB-Teaching/01-04-grains-Marinapozhid,8,6,1,1
360,01,09,01-09-resistor-color-yadwinder1905,yadwinder1905,https://github.com/DB-Teaching/01-09-resistor-color-yadwinder1905,4,2,1,1
361,01,04,01-04-grains-yadwinder1905,yadwinder1905,https://github.com/DB-Teaching/01-04-grains-yadwinder1905,4,2,1,1
362,02,05,02-05-diamond-Amit021,Amit021,https://github.com/DB-Teaching/02-05-diamond-Amit021,3,1,0,0
363,01,03,01-03-gigasecond-chloe-1111,chloe-1111,https://github.com/DB-Teaching/01-03-gigasecond-chloe-1111,3,1,0,0
364,03,03,03-03-nth-prime-cleverjohnson,cleverjohnson,https://github.com/DB-Teaching/03-03-nth-prime-cleverjohnson,4,2,1,1
365,01,05,01-05-pangram-MadalinaLupacescu,MadalinaLupacescu,https://github.com/DB-Teaching/01-05-pangram-MadalinaLupacescu,3,1,0,0
366,01,01,01-01-hello-world-efosdan,efosdan,https://github.com/DB-Teaching/01-01-hello-world-efosdan,3,1,0,0
367,01,03,01-03-gigasecond-michelleschmidt,michelleschmidt,https://github.com/DB-Teaching/01-03-gigasecond-michelleschmidt,3,1,0,0
368,01,04,01-04-grains-michelleschmidt,michelleschmidt,https://github.com/DB-Teaching/01-04-grains-michelleschmidt,5,3,0,0
369,02,01,02-01-queen-attack-Marinapozhid,Marinapozhid,https://github.com/DB-Teaching/02-01-queen-attack-Marinapozhid,4,6,2,2
370,01,04,01-04-grains-MadalinaLupacescu,MadalinaLupacescu,https://github.com/DB-Teaching/01-04-grains-MadalinaLupacescu,5,3,0,0
371,01,02,01-02-leap-Ucybrown,Ucybrown,https://github.com/DB-Teaching/01-02-leap-Ucybrown,3,1,0,0
372,02,02,02-02-triangle-Marinapozhid,Marinapozhid,https://github.com/DB-Teaching/02-02-triangle-Marinapozhid,4,2,1,1
373,02,07,02-07-pythagorean-triplet-Marinapozhid,Marinapozhid,https://github.com/DB-Teaching/02-07-pythagorean-triplet-Marinapozhid,4,2,0,0
374,02,12,02-12-rna-transcription-Marinapozhid,Marinapozhid,https://github.com/DB-Teaching/02-12-rna-transcription-Marinapozhid,4,2,1,1
375,02,08,02-08-matching-brackets-Marinapozhid,Marinapozhid,https://github.com/DB-Teaching/02-08-matching-brackets-Marinapozhid,5,3,1,1
376,03,02,03-02-armstrong-numbers-cleverjohnson,cleverjohnson,https://github.com/DB-Teaching/03-02-armstrong-numbers-cleverjohnson,4,2,1,1
377,01,09,01-09-resistor-color-Ikesee-Ikemefuna,Ikesee-Ikemefuna,https://github.com/DB-Teaching/01-09-resistor-color-Ikesee-Ikemefuna,5,3,0,0
378,01,08,01-08-bob-Ikesee-Ikemefuna,Ikesee-Ikemefuna,https://github.com/DB-Teaching/01-08-bob-Ikesee-Ikemefuna,3,1,0,0
379,02,02,02-02-triangle-Ikesee-Ikemefuna,Ikesee-Ikemefuna,https://github.com/DB-Teaching/02-02-triangle-Ikesee-Ikemefuna,3,1,0,0
380,03,04,03-04-sum-of-multiples-Ikesee-Ikemefuna,Ikesee-Ikemefuna,https://github.com/DB-Teaching/03-04-sum-of-multiples-Ikesee-Ikemefuna,3,1,0,0
381,03,05,03-05-prime-factors-Ikesee-Ikemefuna,Ikesee-Ikemefuna,https://github.com/DB-Teaching/03-05-prime-factors-Ikesee-Ikemefuna,3,1,0,0
